Date,FB,dayofweek,weekly_ret
2018-11-09,144.96,4,0.03425741212079525
2018-11-16,139.53,4,-0.03584968407050204
2018-11-23,131.73,4,-0.037458609271523224
2018-11-30,140.61,4,-0.05590195656847996
2018-12-07,137.42,4,0.06741061261671621
2018-12-14,144.06,4,-0.0226868643766448
2018-12-21,124.95,4,0.04831902197642268
2018-12-28,133.2,4,-0.13265306122448983
2019-01-04,137.95,4,0.06602641056422565
2019-01-11,143.8,4,0.03566066066066065
2019-01-18,150.04,4,0.04240666908300117
2019-01-25,149.01,4,0.043393602225312744
2019-02-01,165.71,4,-0.006864836043721678
2019-02-08,167.33,4,0.11207301523387714
2019-02-15,162.5,4,0.009776114899523236
2019-02-22,161.89,4,-0.028865116834996818
2019-03-01,162.28,4,-0.0037538461538462187
2019-03-08,169.6,4,0.0024090431774663745
2019-03-15,165.98,4,0.045107222085284615
2019-03-22,164.34,4,-0.021344339622641484
2019-03-29,166.69,4,-0.009880708519098613
2019-04-05,175.72,4,0.014299622733357609
2019-04-12,179.1,4,0.054172415861779344
2019-04-26,191.49,4,0.019235146824493565
2019-05-03,195.47,4,0.06917922948073718
2019-05-10,188.34,4,0.020784375163193758
2019-05-17,185.3,4,-0.03647618560392896
2019-05-24,181.06,4,-0.016141021556759005
2019-05-31,177.47,4,-0.022881813275769103
2019-06-07,173.35,4,-0.019827681431569655
2019-06-14,181.33,4,-0.0232151912999381
2019-06-21,191.14,4,0.04603403518892435
2019-06-28,193.0,4,0.05410025919594097
2019-07-05,196.4,4,0.009731087161243046
2019-07-12,204.87,4,0.01761658031088076
2019-07-19,198.36,4,0.04312627291242355
2019-07-26,199.75,4,-0.031776248352613834
2019-08-02,189.02,4,0.0070074611816897114
2019-08-09,187.85,4,-0.05371714643304126
2019-08-16,183.7,4,-0.0061898211829436445
2019-08-23,177.75,4,-0.022092094756454683
2019-08-30,185.67,4,-0.03238976592270004
2019-09-06,187.49,4,0.04455696202531634
2019-09-13,187.19,4,0.00980233748047632
2019-09-20,189.93,4,-0.0016000853378846935
2019-09-27,177.1,4,0.014637534056306523
2019-10-04,180.45,4,-0.0675512030748171
2019-10-11,184.19,4,0.018915866741953558
2019-10-18,185.85,4,0.020725962870601355
2019-10-25,187.89,4,0.00901243281394204
2019-11-01,193.62,4,0.010976594027441333
2019-11-08,190.84,4,0.030496567140348096
2019-11-15,195.1,4,-0.014358020865613108
2019-11-22,198.82,4,0.02232236428421719
2019-11-29,201.64,4,0.019067145053818457
2019-12-06,201.05,4,0.014183683734030783
2019-12-13,194.11,4,-0.0029260067446933435
2019-12-20,206.3,4,-0.03451877642377521
2019-12-27,208.1,4,0.06279944361444545
2020-01-03,208.67,4,0.008725157537566641
2020-01-10,218.06,4,0.002739067755886504
2020-01-17,222.14,4,0.04499928116164287
2020-01-24,217.94,4,0.018710446666055036
2020-01-31,201.91,4,-0.018906995588367614
2020-02-07,212.33,4,-0.07355235385886028
2020-02-14,214.18,4,0.05160715170125307
2020-02-21,210.18,4,0.008712852635049284
2020-02-28,192.47,4,-0.01867588010084975
2020-03-06,181.09,4,-0.08426110952516896
2020-03-13,170.28,4,-0.05912609757364784
2020-03-20,149.73,4,-0.059694074769451655
2020-03-27,156.79,4,-0.12068357998590562
2020-04-03,154.18,4,0.04715153943765449
2020-04-17,179.24,4,-0.01664646980036988
2020-04-24,190.07,4,0.16253729407186412
2020-05-01,202.27,4,0.06042178085248828
2020-05-08,212.35,4,0.06418687851844074
2020-05-15,210.88,4,0.049834379789390315
2020-05-22,234.91,4,-0.006922533553096244
2020-05-29,225.09,4,0.11395106221547802
2020-06-05,230.77,4,-0.04180324379549616
2020-06-12,228.58,4,0.0252343507041628
2020-06-19,238.79,4,-0.009489968366772072
2020-06-26,216.08,4,0.04466707498468803
2020-07-10,245.07,4,-0.09510448511244185
2020-07-17,242.03,4,0.13416327286190288
2020-07-24,230.71,4,-0.012404619088423718
2020-07-31,253.67,4,-0.04677106143866461
2020-08-07,268.44,4,0.09951887651163793
2020-08-14,261.24,4,0.05822525328182282
2020-08-21,267.01,4,-0.02682163611980326
2020-08-28,293.66,4,0.02208696983616587
2020-09-04,282.73,4,0.09980899591775594
2020-09-11,266.61,4,-0.03721991418647419
2020-09-18,252.53,4,-0.057015527181409786
2020-09-25,254.82,4,-0.05281122238475677
2020-10-02,259.94,4,0.009068229517285031
2020-10-09,264.45,4,0.02009261439447463
2020-10-16,265.93,4,0.017350157728706517
2020-10-23,284.79,4,0.005596521081489891
2020-10-30,263.11,4,0.0709209190388449
2020-11-06,293.41,4,-0.0761262684785281
2020-11-13,276.95,4,0.11516095929459169
2020-11-20,269.7,4,-0.056098974131761126
2020-11-27,277.81,4,-0.02617801047120416
2020-12-04,279.7,4,0.030070448646644543
2020-12-11,273.55,4,0.006803210827543982
2020-12-18,276.4,4,-0.021987844118698474
2021-01-08,267.57,4,0.010418570645220226
2021-01-15,251.36,4,-0.03194645441389288
2021-01-22,274.5,4,-0.06058227753485057
2021-01-29,258.33,4,0.09205919796308071
2021-02-05,268.1,4,-0.05890710382513664
2021-02-12,270.5,4,0.03781984283668183
2021-02-19,261.56,4,0.008951883625512691
2021-02-26,257.62,4,-0.03304990757855819
2021-03-05,264.28,4,-0.015063465361676132
2021-03-12,268.4,4,0.02585203012188475
2021-03-19,290.11,4,0.015589526260027187
