Date,PG,dayofweek,weekly_ret
2015-02-13,71.62422502340978,4,0.015660220666745772
2015-02-20,70.76540137062618,4,0.003387454736596185
2015-02-27,70.98219180725116,4,-0.011990686845168685
2015-03-06,68.92268265931375,4,0.0030635088959583
2015-03-13,68.23062088085706,4,-0.02901444849054402
2015-03-20,70.65700615231367,4,-0.010041132349382975
2015-03-27,68.63084937924168,4,0.0355615300012222
2015-04-10,69.49801112574161,4,-0.028675949964597325
2015-04-17,68.81428744100127,4,0.012635159761875459
2015-04-24,68.09163273833589,4,-0.009838032393521212
2015-05-01,67.49478015507394,4,-0.010501521261626956
2015-05-08,68.05800724068733,4,-0.008765432098765347
2015-05-15,68.13366461039661,4,0.00834475028023407
2015-05-22,67.20896342506117,4,0.0011116600790515019
2015-05-29,65.89756901676729,4,-0.013571869216533194
