Date,GOOGL,dayofweek,weekly_ret
2019-11-22,1293.67,4,0.018747135217723532
2019-11-29,1304.09,4,-0.029897865830796122
2019-12-06,1339.39,4,0.008054604342683902
2019-12-13,1346.87,4,0.027068683909853064
2019-12-20,1351.22,4,0.005584631810002794
2019-12-27,1354.64,4,0.0032297103655141157
2020-01-03,1361.52,4,0.0025310460176730665
2020-01-10,1428.96,4,0.00507884013464821
2020-01-17,1479.52,4,0.049532875022034295
2020-01-24,1466.17,4,0.03538237599372973
2020-01-31,1432.78,4,-0.009023196712447223
2020-02-07,1479.11,4,-0.02277362106713421
2020-02-14,1518.73,4,0.03233573891316177
2020-02-21,1483.46,4,0.026786378295055924
2020-02-28,1339.25,4,-0.023223351089397104
2020-03-06,1295.74,4,-0.09721192347619756
2020-03-13,1214.27,4,-0.03248833302221388
2020-03-20,1068.21,4,-0.0628752681865189
2020-03-27,1110.26,4,-0.12028626252810326
2020-04-03,1092.7,4,0.03936491888299121
2020-04-17,1279.0,4,-0.01581611514420045
2020-04-24,1276.6,4,0.17049510387114486
2020-05-01,1317.32,4,-0.0018764659890539992
2020-05-08,1384.34,4,0.031897227009243245
2020-05-15,1373.06,4,0.05087602101235844
2020-05-22,1413.24,4,-0.008148287270468235
2020-05-29,1433.52,4,0.02926310576376867
2020-06-05,1440.02,4,0.01435000424556332
2020-06-12,1412.92,4,0.004534293208326323
2020-06-19,1424.64,4,-0.01881918306690178
2020-06-26,1362.54,4,0.008294878690938035
2020-07-10,1539.01,4,-0.04358995956873324
2020-07-17,1516.85,4,0.1295154637662015
2020-07-24,1508.21,4,-0.01439886680398439
2020-07-31,1487.95,4,-0.005696014767445634
2020-08-07,1498.37,4,-0.013433142599505343
2020-08-14,1504.63,4,0.007002923485332158
2020-08-21,1575.57,4,0.004177873288974121
2020-08-28,1639.43,4,0.04714780377900207
2020-09-04,1581.21,4,0.040531363252664265
2020-09-11,1515.76,4,-0.03551234270447656
2020-09-18,1451.09,4,-0.04139235142707165
2020-09-25,1439.06,4,-0.04266506570961104
2020-10-02,1455.6,4,-0.008290319690715253
2020-10-09,1510.45,4,0.011493613886842668
2020-10-16,1567.7,4,0.03768205550975545
2020-10-23,1632.98,4,0.03790261180442922
2020-10-30,1616.11,4,0.04164062001658486
2020-11-06,1759.73,4,-0.01033080625604732
2020-11-13,1772.26,4,0.0888677132125908
2020-11-20,1736.38,4,0.007120410517522657
2020-11-27,1787.02,4,-0.02024533646304716
2020-12-04,1823.76,4,0.02916412306062033
2020-12-11,1774.8,4,0.020559366990856365
2020-12-18,1726.22,4,-0.02684563758389269
2021-01-08,1797.83,4,-0.027372098264593192
2021-01-15,1727.62,4,0.04148370427871306
2021-01-22,1892.56,4,-0.03905263567745565
2021-01-29,1827.36,4,0.09547238397332758
2021-02-05,2088.83,4,-0.03445069112736188
2021-02-12,2095.03,4,0.14308620085806845
2021-02-19,2088.81,4,0.002968168783481717
2021-02-26,2021.91,4,-0.0029689312324884254
2021-03-05,2097.07,4,-0.03202780530541305
2021-03-12,2050.0,4,0.03717277227967619
2021-03-19,2026.96,4,-0.022445602674207477
