Date,AMZN,dayofweek,weekly_ret
2018-03-02,1500.25,4,0.035418205413166426
2018-03-09,1578.89,4,0.0001666666666666483
2018-03-16,1571.68,4,0.052417930344942576
2018-03-23,1495.56,4,-0.004566499249472722
2018-04-06,1405.23,4,-0.04843225083986569
2018-04-13,1430.79,4,-0.060398780389954165
2018-04-20,1527.49,4,0.01818919322815482
2018-04-27,1572.62,4,0.06758504043220892
2018-05-04,1580.95,4,0.02954520160524776
2018-05-11,1602.91,4,0.005296893082880949
2018-05-18,1574.37,4,0.013890382365033815
2018-05-25,1610.15,4,-0.01780511694355902
2018-06-01,1641.54,4,0.0227265509378356
2018-06-08,1683.99,4,0.019495078098313634
2018-06-15,1715.97,4,0.025859863299097174
2018-06-22,1715.67,4,0.018990611583204142
2018-06-29,1699.8,4,-0.00017482823126280245
2018-07-06,1710.63,4,-0.009250030600290282
2018-07-13,1813.03,4,0.006371337804447652
2018-07-20,1813.7,4,0.05986098688787167
2018-07-27,1817.27,4,0.00036954711174108645
2018-08-03,1823.29,4,0.0019683519876494415
2018-08-10,1886.3,4,0.003312661299641695
2018-08-17,1882.22,4,0.03455840815229605
2018-08-24,1905.39,4,-0.0021629645337433168
2018-08-31,2012.71,4,0.012309931888939696
2018-09-07,1952.07,4,0.05632442702019014
2018-09-14,1970.19,4,-0.03012853317169395
2018-09-21,1915.01,4,0.00928245401035821
2018-09-28,2003.0,4,-0.028007451058019828
2018-10-05,1889.65,4,0.045947540743912496
2018-10-12,1788.61,4,-0.05659011482775833
2018-10-19,1764.03,4,-0.05347021935279028
2018-10-26,1642.81,4,-0.01374251513745306
2018-11-02,1665.53,4,-0.06871765219412374
2018-11-09,1712.43,4,0.013829962077172686
2018-11-16,1593.41,4,0.028159204577521857
2018-11-23,1502.06,4,-0.06950357094888548
2018-11-30,1690.17,4,-0.057329877432675924
2018-12-07,1629.13,4,0.12523467770927943
2018-12-14,1591.91,4,-0.03611471035457969
2018-12-21,1377.45,4,-0.022846549999079313
2018-12-28,1478.02,4,-0.13471867128166792
2019-01-04,1575.39,4,0.07301172456350491
2019-01-11,1640.56,4,0.06587867552536508
2019-01-18,1696.2,4,0.0413675343883102
2019-01-25,1670.57,4,0.0339152484517482
2019-02-01,1626.23,4,-0.015110246433203689
2019-02-08,1588.22,4,-0.02654183901303142
2019-02-15,1607.95,4,-0.023373077608948245
2019-02-22,1631.56,4,0.012422712218710164
2019-03-01,1671.73,4,0.014683292390932579
2019-03-08,1620.8,4,0.024620608497389007
2019-03-15,1712.36,4,-0.03046544597512757
2019-03-22,1764.77,4,0.05649062191510357
2019-03-29,1780.75,4,0.03060688173047721
2019-04-05,1837.28,4,0.00905500433484252
2019-04-12,1843.06,4,0.03174505124245397
2019-04-26,1950.63,4,0.0031459548898371548
2019-05-03,1962.46,4,0.058364893166798826
2019-05-10,1889.98,4,0.006064707299692884
2019-05-17,1869.0,4,-0.03693323685578309
2019-05-24,1823.28,4,-0.01110064656768861
2019-05-31,1775.07,4,-0.024462279293740008
2019-06-07,1804.03,4,-0.026441358430959627
2019-06-14,1869.67,4,0.016314849555228772
2019-06-21,1911.3,4,0.03638520423718017
2019-06-28,1893.63,4,0.02226596137286263
2019-07-05,1942.91,4,-0.009245016480929125
2019-07-12,2011.0,4,0.026024091295554053
2019-07-19,1964.52,4,0.03504537008919595
2019-07-26,1943.05,4,-0.023112879164594702
2019-08-02,1823.24,4,-0.010928878301060818
2019-08-09,1807.58,4,-0.06166079102442035
2019-08-16,1792.57,4,-0.008589105109585216
2019-08-23,1749.62,4,-0.008303920158443834
2019-08-30,1776.29,4,-0.02396001271916859
2019-09-06,1833.51,4,0.015243309975880415
2019-09-13,1839.34,4,0.03221320842880382
2019-09-20,1794.16,4,0.0031796935931627246
2019-09-27,1725.45,4,-0.02456315852425317
2019-10-04,1739.65,4,-0.03829647300129313
2019-10-11,1731.92,4,0.00822973717001374
2019-10-18,1757.51,4,-0.004443422527519947
2019-10-25,1761.33,4,0.014775509261397701
2019-11-01,1791.44,4,0.002173529595848711
2019-11-08,1785.88,4,0.017095036137464437
2019-11-15,1739.49,4,-0.003103648461572739
2019-11-22,1745.72,4,-0.025975989428181134
2019-11-29,1800.8,4,0.0035815095229061455
2019-12-06,1751.6,4,0.03155145155007677
2019-12-13,1760.94,4,-0.027321190581963584
2019-12-20,1786.5,4,0.00533226764101391
2019-12-27,1869.8,4,0.01451497495655718
2020-01-03,1874.97,4,0.046627483907080824
2020-01-10,1883.16,4,0.0027650016044498127
2020-01-17,1864.72,4,0.004368069889118198
2020-01-24,1861.64,4,-0.009792051657851686
2020-01-31,2008.72,4,-0.001651722510618181
2020-02-07,2079.28,4,0.07900560795857414
2020-02-14,2134.87,4,0.03512684694730983
2020-02-21,2095.97,4,0.02673521603632012
2020-02-28,1883.75,4,-0.018221250005855172
2020-03-06,1901.09,4,-0.10125144920967377
2020-03-13,1785.0,4,0.009205043132050283
2020-03-20,1846.09,4,-0.06106496799204664
2020-03-27,1900.1,4,0.03422408963585433
2020-04-03,1906.59,4,0.029256428451484018
2020-04-17,2375.0,4,0.003415609704752409
2020-04-24,2410.22,4,0.2456794591390914
2020-05-01,2286.04,4,0.014829473684210503
2020-05-08,2379.61,4,-0.05152226767680956
2020-05-15,2409.78,4,0.0409310423264686
2020-05-22,2436.88,4,0.012678548165455661
2020-05-29,2442.37,4,0.011245839869199692
2020-06-05,2483.0,4,0.0022528807327402145
2020-06-12,2545.02,4,0.01663548111056068
2020-06-19,2675.01,4,0.02497784937575509
2020-06-26,2692.87,4,0.051076219440318926
2020-07-10,3200.0,4,0.006676610554726681
2020-07-17,2961.97,4,0.18832323877498736
2020-07-24,3008.91,4,-0.07438437500000006
2020-07-31,3164.68,4,0.01584756091385131
2020-08-07,3167.46,4,0.051769577687601265
2020-08-14,3148.02,4,0.0008784458460255884
2020-08-21,3284.72,4,-0.0061374097857589405
2020-08-28,3401.8,4,0.043424120558319235
2020-09-04,3294.62,4,0.03564382961104773
2020-09-11,3116.22,4,-0.03150684931506853
2020-09-18,2954.91,4,-0.05414888515215721
2020-09-25,3095.13,4,-0.051764637926718926
2020-10-02,3125.0,4,0.04745322192554102
2020-10-09,3286.65,4,0.009650644722515755
2020-10-16,3272.71,4,0.051727999999999996
2020-10-23,3204.4,4,-0.004241400818462582
2020-10-30,3036.15,4,-0.020872610160998062
2020-11-06,3311.37,4,-0.052505929347147706
2020-11-13,3128.81,4,0.09064769527197258
2020-11-20,3099.4,4,-0.05513125987129197
2020-11-27,3195.34,4,-0.009399739837190446
2020-12-04,3162.58,4,0.030954378266761395
2020-12-11,3116.42,4,-0.010252430101335142
2020-12-18,3201.65,4,-0.014595678212092622
2021-01-08,3182.7,4,0.027348688559308387
2021-01-15,3104.25,4,-0.005918823106835669
2021-01-22,3292.23,4,-0.0246488830238476
2021-01-29,3206.2,4,0.06055568978014003
2021-02-05,3352.15,4,-0.026131224124681496
2021-02-12,3277.71,4,0.04552117771817121
2021-02-19,3249.9,4,-0.022206643497456824
2021-02-26,3092.93,4,-0.00848458222356463
2021-03-05,3000.46,4,-0.04829994769069823
2021-03-12,3089.49,4,-0.02989721720181182
2021-03-19,3074.96,4,0.029672116942068838
