Date,ADBE,dayofweek,weekly_ret
2019-10-18,265.52,4,0.004802137492778913
2019-10-25,270.98,4,-0.04588738366452272
2019-11-01,277.82,4,0.020563422717686297
2019-11-08,292.46,4,0.025241715255738262
2019-11-15,297.5,4,0.05269599020948812
2019-11-22,299.3,4,0.017233125897558654
2019-11-29,309.53,4,0.006050420168067339
2019-12-06,306.23,4,0.03417975275643159
2019-12-13,317.94,4,-0.010661325235033603
2019-12-20,327.61,4,0.03823923194984147
2019-12-27,330.79,4,0.03041454362458329
2020-01-03,331.81,4,0.009706663410762761
2020-01-10,339.81,4,0.003083527313401113
2020-01-17,349.74,4,0.024110183538772256
2020-01-24,351.37,4,0.02922221241281897
2020-01-31,351.14,4,0.004660605020872621
2020-02-07,366.09,4,-0.0006545806414890443
2020-02-14,379.67,4,0.0425756108674602
2020-02-21,372.95,4,0.03709470348821342
2020-02-28,345.12,4,-0.017699581215265936
2020-03-06,336.77,4,-0.0746212629038745
2020-03-13,335.5,4,-0.024194483078349593
2020-03-20,295.34,4,-0.003771119755322516
2020-03-27,305.83,4,-0.11970193740685553
2020-04-03,293.61,4,0.035518385589490054
2020-04-17,344.11,4,-0.03995683876663492
2020-04-24,344.1,4,0.1719968665917373
2020-05-01,343.84,4,-2.906047484818597e-05
2020-05-08,367.51,4,-0.0007555943039815327
2020-05-15,365.3,4,0.0688401582131224
2020-05-22,385.26,4,-0.006013441811107079
2020-05-29,386.6,4,0.05464002189980821
2020-06-05,392.9,4,0.003478170586097784
2020-06-12,406.54,4,0.016295913088463454
2020-06-19,428.01,4,0.03471621277678816
2020-06-26,426.92,4,0.05281153146061879
2020-07-10,466.2,4,-0.0025466694703394355
2020-07-17,432.42,4,0.09200787032699331
2020-07-24,430.31,4,-0.07245817245817243
2020-07-31,444.32,4,-0.004879515286064451
2020-08-07,449.57,4,0.032557923357579455
2020-08-14,447.6,4,0.01181580842635932
2020-08-21,473.22,4,-0.004381964988766973
2020-08-28,516.44,4,0.05723860589812335
2020-09-04,491.94,4,0.09133172731499095
2020-09-11,471.35,4,-0.04744016729920231
2020-09-18,467.55,4,-0.04185469772736505
2020-09-25,479.78,4,-0.008061949718892514
2020-10-02,478.99,4,0.026157630199978632
2020-10-09,502.16,4,-0.0016465880195088989
2020-10-16,502.82,4,0.04837261738240883
2020-10-23,488.5,4,0.0013143221284053208
2020-10-30,447.1,4,-0.028479376317568916
2020-11-06,494.63,4,-0.08474923234390985
2020-11-13,469.34,4,0.10630731380004477
2020-11-20,462.92,4,-0.05112912682206905
2020-11-27,477.03,4,-0.01367878297183267
2020-12-04,486.0,4,0.030480428583772534
2020-12-11,475.91,4,0.018803848814540114
2020-12-18,502.95,4,-0.020761316872427882
2021-01-08,485.1,4,0.056817465487171814
2021-01-15,458.08,4,-0.035490605427974886
2021-01-22,472.44,4,-0.055699855699855805
2021-01-29,458.77,4,0.03134823611596227
2021-02-05,492.12,4,-0.028934891203115765
2021-02-12,498.84,4,0.07269437844671622
2021-02-19,479.12,4,0.013655206047305413
2021-02-26,459.67,4,-0.03953171357549512
2021-03-05,440.83,4,-0.04059525797295038
2021-03-12,444.3,4,-0.040985924685100206
2021-03-19,441.5,4,0.007871515096522508
