Date,AVGO,dayofweek,weekly_ret
2016-06-10,137.93413436172858,4,0.06040443574690113
2016-06-17,134.22240437785834,4,-0.010703740157480546
2016-06-24,127.95869217355829,4,-0.026909437617060994
2016-07-01,132.69089232790586,4,-0.046666666666666634
2016-07-08,133.482460353724,4,0.03698224852071008
2016-07-15,138.66206852266444,4,0.0059655038257036
2016-07-22,137.38007248085026,4,0.0388036612092304
2016-07-29,139.36759654567626,4,-0.009245470340034867
2016-08-05,146.37125277411067,4,0.014467338886453573
2016-08-12,148.39319284005919,4,0.0502531176688481
2016-08-19,150.50977690909463,4,0.013813778509287555
2016-08-26,152.42846897167556,4,0.014263350147851739
2016-09-02,148.9438488580196,4,0.012747956325387388
2016-09-09,138.33511651200044,4,-0.02286069090088061
2016-09-16,147.76994480398295,4,-0.0712263878458782
2016-09-23,143.8090475448713,4,0.06820269885097496
2016-09-30,148.87450874552175,4,-0.026804484933426687
2016-10-07,150.3328783245847,4,0.03522352235223525
2016-10-14,146.77756313775674,4,0.009795965685138297
2016-10-21,149.2196849772526,4,-0.023649618276792683
2016-10-28,146.13898710905463,4,0.016638250338056215
2016-11-04,148.57247954275724,4,-0.020645385149202
2016-11-11,144.57706466047247,4,0.01665190434012409
2016-11-18,145.1120878196553,4,-0.026892025323807967
2016-11-25,152.52474739607564,4,0.0037006088098363588
2016-12-02,141.7121019371063,4,0.05108230256898216
2016-12-09,154.54402835170117,4,-0.07089108910891107
2016-12-16,154.85002197014373,4,0.09054926318353429
2016-12-23,157.90501623835866,4,0.001979976979415765
2016-12-30,153.417993406918,4,0.019728729963008673
2017-01-06,153.26177210911155,4,-0.028415961305925053
2017-01-13,156.6118510509609,4,-0.0010182723312779363
2017-01-20,165.83758658253038,4,0.021858542386318902
2017-01-27,178.53490650979862,4,0.05890828484344701
2017-02-03,178.92545975431472,4,0.07656478961691415
2017-02-10,178.37000625100293,4,0.0021875455738660232
2017-02-17,182.61401817474467,4,-0.003104384943732885
2017-02-24,182.5793023307877,4,0.02379330478785513
2017-03-03,189.479076317239,4,-0.00019010503303062976
2017-03-10,196.44828199160432,4,0.03779055949042154
2017-03-17,192.84181539484334,4,0.0367808721143279
2017-03-24,190.9149666199875,4,-0.018358351420528662
2017-03-31,190.9062478472506,4,-0.0099918618319923
2017-04-07,190.2872149829304,4,-4.566835639585598e-05
2017-04-21,189.77280739145303,4,-0.0032426013883815052
