Date,BRK_B,dayofweek,weekly_ret
2018-11-09,219.63,4,0.04070734042017232
2018-11-16,218.41,4,0.06322312049184298
2018-11-23,207.07,4,-0.00555479670354686
2018-11-30,218.24,4,-0.051920699601666565
2018-12-07,204.88,4,0.053943111025257284
2018-12-14,200.0,4,-0.061217008797654016
2018-12-21,192.1,4,-0.023818820773135463
2018-12-28,202.08,4,-0.03949999999999998
2019-01-04,195.2,4,0.05195210827693919
2019-01-11,196.29,4,-0.03404592240696769
2019-01-18,204.48,4,0.005584016393442637
2019-01-25,202.75,4,0.04172397982576803
2019-02-01,209.19,4,-0.008460485133020335
2019-02-08,200.92,4,0.03176325524044388
2019-02-15,205.29,4,-0.03953343850088442
2019-02-22,201.91,4,0.02174995022894688
2019-03-01,203.13,4,-0.01646451361488621
2019-03-08,198.7,4,0.0060422960725075026
2019-03-15,204.31,4,-0.021808693939841528
2019-03-22,200.55,4,0.02823351786612993
2019-03-29,200.89,4,-0.01840340658802797
2019-04-05,205.33,4,0.001695337820992071
2019-04-12,210.56,4,0.022101647667878144
2019-04-26,214.22,4,0.025471192714167312
2019-05-03,218.6,4,0.01738221884498481
2019-05-10,209.02,4,0.020446270189524718
2019-05-17,203.27,4,-0.043824336688014554
2019-05-24,201.69,4,-0.027509329250789416
2019-05-31,197.42,4,-0.0077729128745019915
2019-06-07,205.81,4,-0.02117110416976553
2019-06-14,205.16,4,0.04249822712997675
2019-06-21,206.21,4,-0.0031582527573976726
2019-06-28,213.17,4,0.0051179567167090045
2019-07-05,215.25,4,0.033752000387953895
2019-07-12,214.1,4,0.009757470563400261
2019-07-19,205.97,4,-0.005342624854819955
2019-07-26,209.9,4,-0.03797290985520785
2019-08-02,202.67,4,0.019080448609020806
2019-08-09,199.05,4,-0.03444497379704625
2019-08-16,199.72,4,-0.01786154832979714
2019-08-23,197.16,4,0.003365988445114265
2019-08-30,203.41,4,-0.01281794512317247
2019-09-06,204.73,4,0.03170014201663629
2019-09-13,213.61,4,0.006489356472149765
2019-09-20,208.12,4,0.04337420016607241
2019-09-27,207.45,4,-0.025701043958616165
2019-10-04,208.08,4,-0.0032192965596772316
2019-10-11,208.08,4,0.0030368763557484524
2019-10-18,208.76,4,0.0
2019-10-25,211.8,4,0.0032679738562091387
2019-11-01,215.83,4,0.014562176662195947
2019-11-08,221.31,4,0.01902738432483475
2019-11-15,219.74,4,0.02539035351897323
2019-11-22,217.96,4,-0.007094121368216522
2019-11-29,220.3,4,-0.008100482388277097
2019-12-06,222.61,4,0.010735914846760952
2019-12-13,225.37,4,0.01048570131638682
2019-12-20,226.31,4,0.01239836485333079
2019-12-27,226.14,4,0.004170918933309675
2020-01-03,226.18,4,-0.0007511820069816544
2020-01-10,226.62,4,0.0001768815777838384
2020-01-17,230.2,4,0.0019453532584667865
2020-01-24,226.86,4,0.015797370046774173
2020-01-31,224.43,4,-0.014509122502171956
2020-02-07,227.38,4,-0.010711451996826216
2020-02-14,226.8,4,0.013144410283830066
2020-02-21,229.33,4,-0.002550796024276436
2020-02-28,206.34,4,0.011155202821869548
2020-03-06,205.98,4,-0.10024855012427514
2020-03-13,196.4,4,-0.0017446932247746627
2020-03-20,170.06,4,-0.04650936984173215
2020-03-27,179.66,4,-0.13411405295315681
2020-04-03,178.34,4,0.05645066447136293
2020-04-17,191.2,4,-0.0073472113993097166
2020-04-24,186.52,4,0.07210945385219225
2020-05-01,182.67,4,-0.02447698744769866
2020-05-08,176.83,4,-0.0206412180999358
2020-05-15,169.25,4,-0.03197021952154144
2020-05-22,174.93,4,-0.042866029519877946
2020-05-29,185.58,4,0.0335598227474152
2020-06-05,200.66,4,0.06088149545532495
2020-06-12,181.21,4,0.08125875633150126
2020-06-19,179.72,4,-0.09693013056912181
2020-06-26,175.37,4,-0.008222504276805931
2020-07-10,182.9,4,-0.024204317827732025
2020-07-17,190.76,4,0.042937788675372124
2020-07-24,194.52,4,0.042974302897758276
2020-07-31,195.78,4,0.01971063115957228
