Date,NVDA,dayofweek,weekly_ret
2015-12-18,31.471172079853467,4,-0.03733333333333322
2016-01-08,29.013404751899763,4,-0.010772545398584299
2016-01-15,26.545845522241052,4,-0.07809583074051007
2016-01-22,27.85796035071037,4,-0.08504893688828918
2016-01-29,28.68048009392993,4,0.049428255256363185
2016-02-05,25.879996206301406,4,0.029525483304041922
2016-02-12,25.19456308695177,4,-0.09764424718333886
2016-02-19,29.806548790004346,4,-0.026485054861899227
2016-02-26,31.0207446014237,4,0.18305479984453932
2016-03-04,31.989519947899904,4,0.040735873850196835
2016-03-11,31.665202234142395,4,0.031229919169372344
2016-03-18,33.22782394588313,4,-0.010138248847926246
2016-04-01,35.527531370709106,4,0.049348230912476865
2016-04-08,35.04596870482675,4,0.06921029281277691
2016-04-15,36.49065670247384,4,-0.01355463347164576
2016-04-22,35.64546508480276,4,0.04122265844083017
2016-04-29,34.918207181225306,4,-0.02316186372205753
2016-05-06,34.72165099106924,4,-0.02040253653156887
2016-05-13,40.274363362978136,4,-0.005629045876723859
2016-05-20,43.56667954809225,4,0.1599207472403057
2016-05-27,45.224010924077824,4,0.08174719375305006
2016-06-03,45.795469014186004,4,0.03804125981545314
2016-06-10,45.51959269482344,4,0.012636165577342151
2016-06-17,46.03193443078249,4,-0.0060240963855421326
2016-06-24,45.056514587322,4,0.011255411255411296
2016-07-01,45.97281807663337,4,-0.021190068493150527
2016-07-08,50.101110141380346,4,0.02033675923901135
2016-07-15,51.92386439431159,4,0.08979854264895004
2016-07-22,53.86485135554107,4,0.036381514257620484
2016-07-29,56.259063698580476,4,0.03738140417457281
2016-08-05,57.34286352464771,4,0.04444850923724153
2016-08-12,62.11158275934349,4,0.019264448336252293
2016-08-19,61.343070155404924,4,0.08316151202749134
2016-08-26,61.22817885392004,4,-0.012373096446700371
2016-09-02,61.721715681696274,4,-0.0018729304091532617
2016-09-09,58.750623978483326,4,0.008060615831049445
2016-09-16,62.027708514917535,4,-0.04813689429074042
2016-09-23,64.11043392813326,4,0.05577956989247301
2016-09-30,67.6342868784556,4,0.033577339274347695
2016-10-07,65.98587387368296,4,0.05496535796766744
2016-10-14,65.13699052990783,4,-0.024372446001167614
2016-10-21,66.66695469601417,4,-0.012864622288706107
2016-10-28,69.64791713578265,4,0.023488407334444572
2016-11-04,66.69656690568074,4,0.044714243411311916
2016-11-11,86.83286947895122,4,-0.04237528344671215
2016-11-18,92.15319648237907,4,0.30190913127127406
2016-11-25,93.08132512861476,4,0.06127088780265999
2016-12-02,87.43673754912889,4,0.010071583858875188
2016-12-09,90.76813161968359,4,-0.0606414613423959
2016-12-16,99.25972659477706,4,0.0381006218202371
2016-12-23,108.5223860728476,4,0.09355260291875411
2016-12-30,105.51721159970627,4,0.09331739866547162
2017-01-06,101.91891058581331,4,-0.027691747130624722
2017-01-13,102.2451301832267,4,-0.03410155518081359
2017-01-20,102.81848583928655,4,0.00320077594568402
2017-01-27,110.4895890996737,4,0.005607657352798778
2017-02-03,113.06968955194306,4,0.07460821074896673
2017-02-10,112.31839593365773,4,0.023351525454057276
2017-02-17,106.00159827465342,4,-0.006644518272425182
2017-02-24,100.4244737518702,4,-0.05624009857419443
2017-03-03,97.42539869304736,4,-0.05261358897941071
2017-03-10,98.10835637970995,4,-0.0298639858072145
2017-03-17,104.98742293377558,4,0.007010057909173639
2017-03-24,106.37313418207657,4,0.07011702986279267
2017-03-31,107.81823305530473,4,0.013198830960686303
2017-04-07,99.30600681574153,4,0.013585186563692009
2017-04-21,100.6422283766032,4,-0.07894978426512433
2017-04-28,103.23548799842364,4,0.013455596531446234
2017-05-05,102.7999787489576,4,0.025767112509834877
2017-05-12,126.58472253229529,4,-0.0042186001917546845
2017-05-19,134.75052095978322,4,0.23136915077989606
2017-05-26,140.53686685982098,4,0.06450856204550748
2017-06-02,142.3203296372299,4,0.04294117647058826
2017-06-09,148.22557305576152,4,0.012690355329949332
2017-06-16,150.22701461707598,4,0.04149262043998858
2017-06-23,152.41671058267247,4,0.013502673796791598
2017-06-30,143.23187727901663,4,0.01457591346788023
2017-07-07,145.41166511807194,4,-0.060261327439381285
2017-07-14,163.43454729644296,4,0.015218594355284942
2017-07-21,166.55560715690854,4,0.12394385391114748
2017-07-28,162.879692210138,4,0.019096695968475297
2017-08-04,165.67378389474524,4,-0.022070196311719137
2017-08-11,154.52714153593962,4,0.017154328122148454
2017-08-18,160.01624363974258,4,-0.06728066503199581
2017-08-25,162.44480987672975,4,0.03552192869966686
2017-09-01,169.03938887483886,4,0.01517699817060314
2017-09-08,162.32580995495937,4,0.040595812221476235
2017-09-15,178.60896591720777,4,-0.039716062419335896
2017-09-22,177.50821664083165,4,0.10031156454273349
2017-09-29,177.28013345743838,4,-0.006162900449725228
2017-10-06,179.7890484747641,4,-0.0012849162011174808
2017-10-13,192.96828981083482,4,0.014152262683895467
2017-10-20,195.2590383049148,4,0.07330391616105936
2017-10-27,200.1777017380909,4,0.011871113623516116
2017-11-03,206.9507806188556,4,0.025190452006094377
2017-11-10,214.33869242876727,4,0.03383533141781436
2017-11-17,209.5985288782468,4,0.03569888351142825
2017-11-24,215.30201339631898,4,-0.02211529564171344
2017-12-01,196.16934922651333,4,0.027211472087121713
2017-12-08,190.0266525869336,4,-0.08886430678466084
2017-12-15,190.09611765394015,4,-0.031313233508700966
2017-12-22,193.77776620528763,4,0.0003655543370411074
2017-12-29,192.02129236812183,4,0.019367300062643755
2018-01-05,213.75393476017285,4,-0.009064372407436072
2018-01-12,221.27600915888274,4,0.11317829457364348
2018-01-19,228.3515224125505,4,0.035190343546889435
2018-01-26,241.4704964957886,4,0.03197596196968355
2018-02-02,231.73546353386985,4,0.057450784407457434
2018-02-09,230.306467869735,4,-0.040315620761928295
2018-02-16,241.9765991268364,4,-0.006166495375128367
2018-02-23,244.2018049012041,4,0.050672182006204824
2018-03-02,234.87779014894812,4,0.00919595441210963
2018-03-09,243.60602121096412,4,-0.03818159638921659
2018-03-16,248.71983121885742,4,0.037160733913925936
2018-03-23,231.3328771920202,4,0.02099213304528602
2018-04-06,212.74442605653232,4,-0.06990578090067068
2018-04-13,229.8732071509322,4,-0.08035369360861899
2018-04-20,227.10281299131626,4,0.08051341890315022
2018-04-27,224.7395376866976,4,-0.01205183585313152
2018-05-04,237.38008164795616,4,-0.01040619124655684
2018-05-11,252.7413711279774,4,0.056245305527327094
2018-05-18,244.2117346293748,4,0.06471178783568976
2018-05-25,247.6782567267016,4,-0.03374847758613908
2018-06-01,255.96466823625187,4,0.014194740079086277
2018-06-08,260.5947255065761,4,0.03345635430038518
2018-06-15,263.55557758073195,4,0.01808865771291024
2018-06-22,249.3375261776547,4,0.011361903309440313
2018-06-29,235.3778041501749,4,-0.05394707079846184
2018-07-06,245.7407864097204,4,-0.05598724845586778
2018-07-13,247.71799970756274,4,0.044027015618404386
2018-07-20,249.27791170636291,4,0.008045930538147505
2018-07-27,250.40065091569053,4,0.006297128188673007
2018-08-03,250.48013687741283,4,0.004503965881462291
2018-08-10,253.15285234032527,4,0.0003174351241965745
2018-08-17,243.2469143606831,4,0.010670368901229521
2018-08-24,270.4708562505725,4,-0.039130264139094706
2018-08-31,279.0267048771664,4,0.11191896086921016
2018-09-07,270.2586575028732,4,0.031633162793212266
