Date,INTC,dayofweek,weekly_ret
2016-12-23,33.2082178104523,4,0.015380313199105489
2016-12-30,32.579444413987154,4,0.018176810795923704
2017-01-06,32.76807643292669,4,-0.01893427103056511
2017-01-13,33.046533222789826,4,0.005789909015715189
2017-01-20,33.18127037917522,4,0.008497807017543879
2017-01-27,34.11544799678059,4,0.004077194889915869
2017-02-03,33.03755074569747,4,0.028153762858689868
2017-02-10,31.97007238096793,4,-0.03159557661927326
2017-02-17,33.0013650384185,4,-0.032311062431544246
2017-02-24,33.04659717251721,4,0.03225806451612878
2017-03-03,32.476672282873466,4,0.0013706140350877583
2017-03-10,32.48571870969321,4,-0.017246099096632994
2017-03-17,31.906747393229733,4,0.00027855153203337757
2017-03-24,31.80723669821257,4,-0.017822333611807073
2017-03-31,32.63046153880909,4,-0.00311879784519431
2017-04-07,32.594275831530126,4,0.025881683731513228
2017-04-21,32.85662220930263,4,-0.0011089548100912117
2017-04-28,32.702832953367015,4,0.00804884818207019
2017-05-05,33.55439209321709,4,-0.004680616740088128
2017-05-12,32.378803668441165,4,0.026039308003204642
2017-05-19,32.26033351710714,4,-0.03503530689842438
2017-05-26,33.04405913362444,4,-0.003658879819870897
2017-06-02,33.09873766500937,4,0.02429378531073456
2017-06-09,32.54283926259594,4,0.001654715940430318
2017-06-16,32.08718483438821,4,-0.016795154185021977
2017-06-23,31.15764980084444,4,-0.01400168020162429
2017-06-30,30.747560815457486,4,-0.028969042885544027
2017-07-07,30.875144055355648,4,-0.01316174319976593
2017-07-14,31.604191140488012,4,0.004149377593360981
2017-07-21,31.649756583308786,4,0.023612750885478206
2017-07-28,32.17831572002976,4,0.0014417531718569077
2017-08-04,33.327550111625854,4,0.0167002591419525
2017-08-11,32.93276095052395,4,0.03571456012785479
2017-08-18,32.14318262832014,4,-0.011845730027548185
2017-08-25,31.831023756751193,4,-0.02397546696403685
2017-09-01,32.21663177457166,4,-0.009711510996858075
2017-09-08,32.30844320738605,4,0.012114219786559133
2017-09-15,33.970230141326624,4,0.0028498147620401593
2017-09-22,34.13549072039254,4,0.05143506678033538
2017-09-29,34.96179361572211,4,0.004864864864864815
2017-10-06,36.38487082434525,4,0.024206562668101173
2017-10-13,36.42159539747101,4,0.04070378151260501
2017-10-20,37.11936228686042,4,0.0010093363613423723
2017-10-27,40.76427616959195,4,0.01915805394504666
2017-11-03,42.54541796619125,4,0.0981944100915162
2017-11-10,42.091837049359185,4,0.043693693693694025
2017-11-17,41.21453899765029,4,-0.010661099091622606
2017-11-24,41.32535559365564,4,-0.020842474769635966
2017-12-01,41.26071257931918,4,0.0026887743670180875
2017-12-08,40.03249530692674,4,-0.0015642458100560974
2017-12-15,41.149895983313854,4,-0.029767233661593395
2017-12-22,43.12612527874229,4,0.027912341407151153
2017-12-29,42.62745059671829,4,0.048025134649910095
2018-01-05,41.31612087732185,4,-0.011563169164882314
2018-01-12,39.930913427255184,4,-0.03076256499133434
2018-01-19,41.38999860799207,4,-0.03352704514975402
2018-01-26,46.24745939955918,4,0.036540240518038614
2018-02-02,42.61821588038452,4,0.11735832217759912
2018-02-09,40.85769771438796,4,-0.07847444089456856
2018-02-16,42.35441883657601,4,-0.04130905364358195
2018-02-23,44.37173860995989,4,0.03663253697383406
2018-03-02,45.5337891706649,4,0.04762949956101825
2018-03-09,48.517935010555355,4,0.02618897967735201
2018-03-16,47.56970175302007,4,0.06553695385871783
2018-03-23,45.887052541119225,4,-0.019543973941368087
2018-04-06,45.357157485437746,4,-0.035372288450263745
2018-04-13,48.21115366252923,4,-0.011547811993516954
2018-04-20,47.90437231450311,4,0.06292273006763649
2018-04-27,49.019940852779904,4,-0.006363285769379057
2018-05-04,49.345315009777316,4,0.023287405394915472
2018-05-11,51.11232231118844,4,0.006637587710980775
2018-05-18,50.01846064841012,4,0.035809018567639406
2018-05-25,51.832214174726296,4,-0.021401134077190576
2018-06-01,53.365490351612145,4,0.036261682242990645
2018-06-08,51.467593620466864,4,0.029581529581529598
2018-06-15,51.523689090352924,4,-0.03556412053258584
