Date,XOM,dayofweek,weekly_ret
2016-02-26,64.01315867175974,4,0.01814142910033323
2016-03-04,64.4359978850044,4,-0.00909090909090915
2016-03-11,64.35769432699611,4,0.00660550458715603
2016-03-18,65.93159584296234,4,-0.0012152144853569968
2016-04-01,64.96063172365979,4,0.02445552986981414
2016-04-08,65.15639061868046,4,-0.014726840855107115
2016-04-15,66.534533239626,4,0.003013500482160092
2016-04-22,68.53910432463769,4,0.021151303929816345
2016-04-29,69.22034527930964,4,0.03012828056961303
2016-05-06,69.30647919311872,4,0.009939449331657801
2016-05-13,70.01021930546722,4,0.0012443438914024885
2016-05-20,70.86303948198318,4,0.010154030626596366
2016-05-27,71.07624452611216,4,0.012181367020076772
2016-06-03,69.78122129510646,4,0.0030086917762424115
2016-06-10,71.05255507676449,4,-0.018220197755804746
2016-06-17,71.63689482734023,4,0.018218852551770803
2016-06-24,70.58666257292707,4,0.008224049788841725
2016-07-01,74.10059755949746,4,-0.014660493827160392
2016-07-08,73.86370306602079,4,0.04978185479360131
2016-07-15,75.11134739833119,4,-0.0031969309462918094
2016-07-22,74.23483777246757,4,0.016891169553132634
2016-07-29,70.23921731582799,4,-0.011669470142977256
2016-08-05,69.14160616271948,4,-0.05382406127007788
2016-08-12,69.97270986836794,4,-0.015626756604834258
2016-08-19,69.93288476314976,4,0.012020312396164412
2016-08-26,69.51073864783689,4,-0.0005691519635740994
2016-09-02,69.63021396349149,4,-0.006036446469248391
2016-09-09,69.16824274296043,4,0.0017188037126161237
2016-09-16,66.93007182969788,4,-0.006634637382749942
2016-09-23,66.46810060916683,4,-0.0323583602026718
2016-09-30,69.51870366888053,4,-0.0069022967987623085
2016-10-07,69.08859253252403,4,0.04589574595566215
2016-10-14,68.92929211165126,4,-0.006186984417965169
2016-10-21,68.99301228000037,4,-0.0023057412958265022
2016-10-28,67.52744840797081,4,0.0009244280101685654
2016-11-04,66.56368086169049,4,-0.02124220734241511
2016-11-11,68.83623273086803,4,-0.014272234017457142
2016-11-18,68.52286596578062,4,0.034141018641976384
2016-11-25,70.00131429337253,4,-0.004552352048558417
2016-12-02,69.9370339313033,4,0.021575984990619412
2016-12-09,71.51190280199901,4,-0.0009182736455465301
2016-12-16,73.26354266838507,4,0.022518382352941124
2016-12-23,72.88589554122842,4,0.024494382022472116
2016-12-30,72.52431850458913,4,-0.005154639175258047
2017-01-06,71.11015053906642,4,-0.004960864292800848
2017-01-13,69.38261580845635,4,-0.019499224462663833
2017-01-20,69.01300372655837,4,-0.02429378531073423
2017-01-27,68.70767200672961,4,-0.005327156919513798
2017-02-03,67.12476809077526,4,-0.004424263592967659
2017-02-10,66.91551373833235,4,-0.02303824114138675
2017-02-17,66.29922931708741,4,-0.0031173940468580685
2017-02-24,65.74781694018402,4,-0.009209888511875874
2017-03-03,66.86685970507615,4,-0.00831702544031332
2017-03-10,66.17759423394695,4,0.017020226936359073
2017-03-17,66.49384545011212,4,-0.010308028134853209
2017-03-24,65.86945202332447,4,0.004778826124249624
2017-03-31,66.50195445565481,4,-0.009390243902439144
2017-04-07,67.11012987135706,4,0.009602363658746782
2017-04-21,65.43156572401885,4,0.009145226191927813
2017-04-28,66.21003025611772,4,-0.025012083131947915
2017-05-05,66.5100634611975,4,0.011897385053909915
2017-05-12,67.56911285093551,4,0.004531537048377388
2017-05-19,67.06162829651298,4,0.015923145079479006
2017-05-26,66.75058937606046,4,-0.007510599636583848
2017-06-02,65.0726162525666,4,-0.004638105699987793
2017-06-09,67.22533299148799,4,-0.02513795217657877
2017-06-16,68.33852491731805,4,0.033081761006289234
2017-06-23,66.79970078455297,4,0.01655911360038953
2017-06-30,66.07940012666292,4,-0.022517666786441293
2017-07-07,65.66195315447663,4,-0.01078299228035784
2017-07-14,66.52958803784419,4,-0.006317354143441256
2017-07-21,65.58010080698915,4,0.013213662428322115
2017-07-28,65.1544686000541,4,-0.01427165354330684
2017-08-04,65.65376791972788,4,-0.006490264603095652
2017-08-11,64.64091845189347,4,0.0076633165829145256
2017-08-18,63.34330635664386,4,-0.015427133886249833
2017-08-25,63.40942671818525,4,-0.020074159314665496
2017-09-01,63.28545104029514,4,0.001043841336117124
2017-09-08,65.14508620864653,4,-0.0019551616266947347
2017-09-15,66.1782168577306,4,0.029384876583518738
2017-09-22,66.05424117984053,4,0.015858919056076726
2017-09-29,67.7568404895311,4,-0.0018733608092915688
2017-10-06,67.53368426932893,4,0.0257757757757755
2017-10-13,68.11223743281603,4,-0.003293486216150332
2017-10-20,68.69079059630312,4,0.008566882878472848
2017-10-27,69.18669330786348,4,0.008494114791894214
2017-11-03,68.74864591265184,4,0.007219347852243985
2017-11-10,69.18669330786348,4,-0.006331382152669707
2017-11-17,66.93441368486816,4,0.00637172397210839
2017-11-24,67.91874329788092,4,-0.0325536532433085
2017-12-01,69.6204656796996,4,0.014705882352941124
2017-12-08,68.95312356918247,4,0.025055268975681777
2017-12-15,69.26176929529666,4,-0.009585430146177965
2017-12-22,70.04589627515429,4,0.004476167432857725
2017-12-29,69.77061765456597,4,0.011321209201493598
2018-01-05,72.3649101092013,4,-0.003929974991068397
2018-01-12,73.00722689057405,4,0.037183165949306485
2018-01-19,72.69858116445988,4,0.008876080691642807
2018-01-26,74.24180979503073,4,-0.0042276051188299135
2018-02-02,70.51303575251627,4,0.02122776821571981
2018-02-09,63.8562982001079,4,-0.05022471910112347
2018-02-16,64.49671502027262,4,-0.09440435348397014
2018-02-23,65.33094219390823,4,0.010029031406703748
2018-03-02,63.66248784663699,4,0.012934413378625553
2018-03-09,62.82826067300139,4,-0.0255385012253323
2018-03-16,63.30014675101749,4,-0.013103904698874791
2018-03-23,61.4210289760605,4,0.007510729613734002
2018-04-06,63.08948332333173,4,-0.029685835995740262
2018-04-13,65.59216484423857,4,0.027164220057621202
2018-04-20,66.56964314870051,4,0.03966875918258306
2018-04-27,65.55003215870143,4,0.014902363823227294
2018-05-04,64.80007035614011,4,-0.015316455696202436
2018-05-11,69.18186965200394,4,-0.011441059262116027
2018-05-18,69.19889274985137,4,0.06762028608582571
2018-05-25,66.99440157860765,4,0.00024606299212570626
2018-06-01,69.65000484280858,4,-0.03185731857318563
2018-06-08,71.15654900230719,4,0.03963918180663195
2018-06-15,68.65415361873322,4,0.021630208969815268
2018-06-22,69.26698514124114,4,-0.035167464114832625
2018-06-29,70.41604424594347,4,0.008926357550210984
2018-07-06,70.07558228899464,4,0.01658884246743675
2018-07-13,70.90971408351929,4,-0.004835005439380979
2018-07-20,69.28400823908859,4,0.011903315923721625
2018-07-27,69.72660878312207,4,-0.02292641939743123
2018-08-03,68.26262236824208,4,0.006388206388206363
2018-08-10,68.29666856393695,4,-0.02099609374999989
2018-08-17,67.29913474960597,4,0.0004987531172067072
2018-08-24,68.46865715261471,4,-0.014605892722236113
2018-08-31,68.94162577147854,4,0.01737797086634285
2018-09-07,70.3691310575039,4,0.006907812107510791
2018-09-14,71.3064688657977,4,0.02070599975052989
2018-09-21,73.24134048842244,4,0.013320298179152257
2018-09-28,73.11234904691413,4,0.027134587554269007
2018-10-05,73.38753078879853,4,-0.0017611835153221733
2018-10-12,69.98215673297895,4,0.0037638202775815977
2018-10-19,70.48952306957834,4,-0.04640262479493795
2018-10-26,66.67137640093216,4,0.0072499385598427946
2018-11-02,70.47232421071057,4,-0.054166158350616
2018-11-09,70.24873904542947,4,0.057010189604024264
2018-11-16,68.58959360735885,4,-0.003172666259914747
2018-11-23,65.57533461777507,4,-0.023618152590577646
2018-11-30,69.05867137519034,4,-0.043946301925025355
2018-12-07,67.4429590637708,4,0.053119618492515785
2018-12-14,65.65351424574699,4,-0.023396226415094312
2018-12-21,59.173291749408385,4,-0.026532715095311854
2018-12-28,59.21672487605946,4,-0.09870336067742769
2019-01-04,61.80533922446281,4,0.0007339988256021002
2019-01-11,62.30047686828493,4,0.043714243802258856
2019-01-18,63.40367828522192,4,0.008011243851018923
2019-01-25,62.30047686828493,4,0.017707752370328844
2019-02-01,65.94885950697423,4,-0.017399643786819907
2019-02-08,64.97595746999039,4,0.058561070831009365
2019-02-15,68.25198236000207,4,-0.014752370916754853
2019-02-22,68.8755688672161,4,0.05041903217085708
2019-03-01,70.2632684184811,4,0.009136533264702207
2019-03-08,69.39376047180241,4,0.020147921448609996
2019-03-15,70.39501204676577,4,-0.012374999999999914
2019-03-22,70.68484802899201,4,0.014428553347677564
2019-03-29,70.96590110266591,4,0.004117280099812826
2019-04-05,72.45021264800633,4,0.003976143141152688
2019-04-12,71.07129600529363,4,0.02091584158415838
2019-04-26,70.6936309375443,4,-0.019032610013335005
2019-05-03,68.04119255474664,4,-0.005313890261987142
2019-05-10,68.00606092053741,4,-0.03752018884333452
2019-05-17,67.42868448900201,4,-0.0005163289015102102
2019-05-24,65.82091319503425,4,-0.008490073145245747
2019-05-31,62.86296932270678,4,-0.023844025820049852
2019-06-07,66.24728348293729,4,-0.04493927125506103
2019-06-14,66.04298105331708,4,0.05383637134378971
2019-06-21,69.00980763997585,4,-0.003083936712255264
